cluster_spec,policy,seed,total_jobs,utilization,average_completion_time,total_completion_time
v100=10.p100=5.k80=5,finish_time_fairness,9,500,0.907,504928.629 seconds (140.26 hours),2068134.670 seconds (574.48 hours)
v100=10.p100=5.k80=5,finish_time_fairness,9,875,0.912,783318.160 seconds (217.59 hours),3283286.788 seconds (912.02 hours)
v100=10.p100=5.k80=5,finish_time_fairness,9,750,0.934,697116.754 seconds (193.64 hours),2815915.989 seconds (782.20 hours)
v100=10.p100=5.k80=5,finish_time_fairness,9,625,0.927,595742.803 seconds (165.48 hours),2408567.232 seconds (669.05 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,1000,0.948,1046475.737 seconds (290.69 hours),4251599.659 seconds (1181.00 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,500,0.887,517310.460 seconds (143.70 hours),2182305.703 seconds (606.20 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,875,0.933,890982.505 seconds (247.50 hours),3729852.575 seconds (1036.07 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,750,0.924,774659.882 seconds (215.18 hours),3244691.640 seconds (901.30 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,625,0.915,639948.641 seconds (177.76 hours),2666859.609 seconds (740.79 hours)
v100=5.p100=5.k80=10,gandiva,5,1000,0.921,1102969.204 seconds (306.38 hours),4238461.783 seconds (1177.35 hours)
v100=5.p100=5.k80=10,gandiva,5,500,0.873,526923.747 seconds (146.37 hours),1986868.746 seconds (551.91 hours)
v100=5.p100=5.k80=10,gandiva,5,875,0.924,953906.145 seconds (264.97 hours),3677000.364 seconds (1021.39 hours)
v100=5.p100=5.k80=10,gandiva,5,750,0.915,829741.881 seconds (230.48 hours),3272066.656 seconds (908.91 hours)
v100=5.p100=5.k80=10,gandiva,5,625,0.905,707341.870 seconds (196.48 hours),2741936.536 seconds (761.65 hours)
v100=5.p100=5.k80=10,gandiva,9,1000,0.906,1060811.423 seconds (294.67 hours),4193550.803 seconds (1164.88 hours)
v100=5.p100=5.k80=10,gandiva,9,500,0.838,575811.991 seconds (159.95 hours),2311460.369 seconds (642.07 hours)
v100=5.p100=5.k80=10,gandiva,9,875,0.888,897704.370 seconds (249.36 hours),3606796.529 seconds (1001.89 hours)
v100=5.p100=5.k80=10,gandiva,9,750,0.884,795592.381 seconds (221.00 hours),3145759.615 seconds (873.82 hours)
v100=5.p100=5.k80=10,gandiva,9,625,0.884,688348.456 seconds (191.21 hours),2671846.510 seconds (742.18 hours)
v100=5.p100=5.k80=10,gandiva,8,1000,0.940,1180823.202 seconds (328.01 hours),4716200.396 seconds (1310.06 hours)
v100=5.p100=5.k80=10,gandiva,8,500,0.878,566532.621 seconds (157.37 hours),2277890.460 seconds (632.75 hours)
v100=5.p100=5.k80=10,gandiva,8,875,0.934,1006112.065 seconds (279.48 hours),4073077.852 seconds (1131.41 hours)
v100=5.p100=5.k80=10,gandiva,8,750,0.907,879026.822 seconds (244.17 hours),3640502.573 seconds (1011.25 hours)
v100=5.p100=5.k80=10,gandiva,8,625,0.904,713471.255 seconds (198.19 hours),2850186.184 seconds (791.72 hours)
v100=5.p100=5.k80=10,allox,5,1000,0.897,569444.782 seconds (158.18 hours),4244345.687 seconds (1178.98 hours)
v100=5.p100=5.k80=10,allox,5,500,0.795,284560.358 seconds (79.04 hours),2116526.199 seconds (587.92 hours)
v100=5.p100=5.k80=10,allox,5,875,0.896,497016.331 seconds (138.06 hours),3642657.100 seconds (1011.85 hours)
v100=5.p100=5.k80=10,allox,5,750,0.862,439445.363 seconds (122.07 hours),3314628.130 seconds (920.73 hours)
v100=5.p100=5.k80=10,allox,5,625,0.853,379048.588 seconds (105.29 hours),2842327.685 seconds (789.54 hours)
v100=5.p100=5.k80=10,allox,9,1000,0.900,547093.591 seconds (151.97 hours),4074536.096 seconds (1131.82 hours)
v100=5.p100=5.k80=10,allox,9,500,0.831,323326.042 seconds (89.81 hours),2353313.274 seconds (653.70 hours)
v100=5.p100=5.k80=10,allox,9,875,0.886,467848.948 seconds (129.96 hours),3484590.573 seconds (967.94 hours)
v100=5.p100=5.k80=10,allox,9,750,0.881,420007.208 seconds (116.67 hours),3063009.737 seconds (850.84 hours)
v100=5.p100=5.k80=10,allox,9,625,0.839,371084.205 seconds (103.08 hours),2746640.926 seconds (762.96 hours)
v100=5.p100=5.k80=10,allox,8,1000,0.908,604770.015 seconds (167.99 hours),4632378.120 seconds (1286.77 hours)
v100=5.p100=5.k80=10,allox,8,500,0.803,306495.203 seconds (85.14 hours),2343799.491 seconds (651.06 hours)
v100=5.p100=5.k80=10,allox,8,875,0.887,521693.106 seconds (144.91 hours),4063508.798 seconds (1128.75 hours)
v100=5.p100=5.k80=10,allox,8,750,0.873,453246.311 seconds (125.90 hours),3512619.349 seconds (975.73 hours)
v100=5.p100=5.k80=10,allox,8,625,0.832,377783.350 seconds (104.94 hours),2917841.549 seconds (810.51 hours)
v100=5.p100=5.k80=10,max_min_fairness,5,1000,0.953,1296800.930 seconds (360.22 hours),4926231.767 seconds (1368.40 hours)
v100=5.p100=5.k80=10,max_min_fairness,5,500,0.856,611338.605 seconds (169.82 hours),2477060.836 seconds (688.07 hours)
v100=5.p100=5.k80=10,max_min_fairness,5,875,0.940,1121358.574 seconds (311.49 hours),4286943.321 seconds (1190.82 hours)
v100=5.p100=5.k80=10,max_min_fairness,5,750,0.928,972703.452 seconds (270.20 hours),3797503.080 seconds (1054.86 hours)
v100=5.p100=5.k80=10,max_min_fairness,5,625,0.915,826384.656 seconds (229.55 hours),3256559.232 seconds (904.60 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,1000,0.952,1243960.071 seconds (345.54 hours),4778191.959 seconds (1327.28 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,500,0.915,681071.274 seconds (189.19 hours),2629586.534 seconds (730.44 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,875,0.939,1045304.586 seconds (290.36 hours),4061772.694 seconds (1128.27 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,750,0.927,925857.775 seconds (257.18 hours),3585245.901 seconds (995.90 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,625,0.915,802497.133 seconds (222.92 hours),3104778.854 seconds (862.44 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,1000,0.964,1382740.828 seconds (384.09 hours),5430395.933 seconds (1508.44 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,500,0.870,665707.090 seconds (184.92 hours),2807765.805 seconds (779.93 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,875,0.957,1176460.891 seconds (326.79 hours),4727261.560 seconds (1313.13 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,750,0.948,1014354.276 seconds (281.77 hours),4090498.081 seconds (1136.25 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,625,0.916,835878.422 seconds (232.19 hours),3404674.086 seconds (945.74 hours)
v100=5.p100=5.k80=10,fifo,5,1000,0.733,2299616.588 seconds (638.78 hours),7099477.947 seconds (1972.08 hours)
v100=5.p100=5.k80=10,fifo,5,500,0.585,973407.442 seconds (270.39 hours),4179280.042 seconds (1160.91 hours)
v100=5.p100=5.k80=10,fifo,5,875,0.857,1967738.850 seconds (546.59 hours),5129622.863 seconds (1424.90 hours)
v100=5.p100=5.k80=10,fifo,5,750,0.767,1637643.206 seconds (454.90 hours),5129441.522 seconds (1424.84 hours)
v100=5.p100=5.k80=10,fifo,5,625,0.717,1299723.148 seconds (361.03 hours),4812282.449 seconds (1336.75 hours)
v100=5.p100=5.k80=10,fifo,9,1000,0.249,3255853.744 seconds (904.40 hours),11664189.355 seconds (3240.05 hours)
v100=5.p100=5.k80=10,fifo,9,500,0.249,1734898.163 seconds (481.92 hours),6067484.943 seconds (1685.41 hours)
v100=5.p100=5.k80=10,fifo,9,875,0.249,2715119.458 seconds (754.20 hours),9768339.416 seconds (2713.43 hours)
v100=5.p100=5.k80=10,fifo,9,750,0.249,2399520.170 seconds (666.53 hours),8547167.435 seconds (2374.21 hours)
v100=5.p100=5.k80=10,fifo,9,625,0.249,2045328.405 seconds (568.15 hours),7217521.817 seconds (2004.87 hours)
v100=5.p100=5.k80=10,fifo,8,1000,0.249,3672653.400 seconds (1020.18 hours),13200793.341 seconds (3666.89 hours)
v100=5.p100=5.k80=10,fifo,8,500,0.248,1815099.494 seconds (504.19 hours),6559048.466 seconds (1821.96 hours)
v100=5.p100=5.k80=10,fifo,8,875,0.249,3115768.454 seconds (865.49 hours),11372955.041 seconds (3159.15 hours)
v100=5.p100=5.k80=10,fifo,8,750,0.249,2716438.651 seconds (754.57 hours),9842089.328 seconds (2733.91 hours)
v100=5.p100=5.k80=10,fifo,8,625,0.249,2241620.836 seconds (622.67 hours),8153952.829 seconds (2264.99 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,1000,0.958,1108671.390 seconds (307.96 hours),4841421.410 seconds (1344.84 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,500,0.865,524676.297 seconds (145.74 hours),2398701.568 seconds (666.31 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,875,0.952,956005.996 seconds (265.56 hours),4175550.453 seconds (1159.88 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,750,0.944,829114.368 seconds (230.31 hours),3684167.506 seconds (1023.38 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,625,0.931,706162.968 seconds (196.16 hours),3159324.010 seconds (877.59 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,1000,0.963,1063294.765 seconds (295.36 hours),4645667.674 seconds (1290.46 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,500,0.899,581918.037 seconds (161.64 hours),2627417.663 seconds (729.84 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,875,0.945,888369.746 seconds (246.77 hours),3969355.859 seconds (1102.60 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,750,0.948,787836.987 seconds (218.84 hours),3440960.450 seconds (955.82 hours)
v100=5.p100=5.k80=10,finish_time_fairness,9,625,0.934,682648.226 seconds (189.62 hours),2989559.234 seconds (830.43 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,1000,0.953,1196679.478 seconds (332.41 hours),5410961.155 seconds (1503.04 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,500,0.897,576061.814 seconds (160.02 hours),2659967.875 seconds (738.88 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,875,0.925,1016722.157 seconds (282.42 hours),4814861.832 seconds (1337.46 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,750,0.950,881414.872 seconds (244.84 hours),4007887.565 seconds (1113.30 hours)
v100=5.p100=5.k80=10,finish_time_fairness,8,625,0.941,720901.891 seconds (200.25 hours),3244499.630 seconds (901.25 hours)
v100=5.p100=10.k80=5,gandiva,5,1000,0.919,893703.980 seconds (248.25 hours),3474315.338 seconds (965.09 hours)
v100=5.p100=10.k80=5,gandiva,5,500,0.810,422151.809 seconds (117.26 hours),1727128.024 seconds (479.76 hours)
v100=5.p100=10.k80=5,gandiva,5,875,0.923,763618.112 seconds (212.12 hours),2944497.580 seconds (817.92 hours)
v100=5.p100=10.k80=5,gandiva,5,750,0.891,665768.821 seconds (184.94 hours),2669780.148 seconds (741.61 hours)
v100=5.p100=10.k80=5,gandiva,5,625,0.881,563265.311 seconds (156.46 hours),2268361.570 seconds (630.10 hours)
v100=5.p100=10.k80=5,gandiva,9,1000,0.892,852200.279 seconds (236.72 hours),3447250.745 seconds (957.57 hours)
v100=5.p100=10.k80=5,gandiva,9,500,0.839,474208.458 seconds (131.72 hours),1912650.396 seconds (531.29 hours)
v100=5.p100=10.k80=5,gandiva,9,875,0.879,716845.068 seconds (199.12 hours),2957791.625 seconds (821.61 hours)
v100=5.p100=10.k80=5,gandiva,9,750,0.888,638022.660 seconds (177.23 hours),2526274.464 seconds (701.74 hours)
v100=5.p100=10.k80=5,gandiva,9,625,0.863,553847.424 seconds (153.85 hours),2200721.935 seconds (611.31 hours)
v100=5.p100=10.k80=5,gandiva,8,1000,0.944,955130.962 seconds (265.31 hours),3785452.988 seconds (1051.51 hours)
v100=5.p100=10.k80=5,gandiva,8,500,0.861,454936.731 seconds (126.37 hours),1882470.997 seconds (522.91 hours)
v100=5.p100=10.k80=5,gandiva,8,875,0.933,814209.595 seconds (226.17 hours),3365668.086 seconds (934.91 hours)
v100=5.p100=10.k80=5,gandiva,8,750,0.926,708410.879 seconds (196.78 hours),2859075.399 seconds (794.19 hours)
v100=5.p100=10.k80=5,gandiva,8,625,0.907,575712.653 seconds (159.92 hours),2291502.710 seconds (636.53 hours)
v100=5.p100=10.k80=5,allox,5,1000,0.910,483418.030 seconds (134.28 hours),3492088.017 seconds (970.02 hours)
v100=5.p100=10.k80=5,allox,5,500,0.776,241552.293 seconds (67.10 hours),1831729.576 seconds (508.81 hours)
v100=5.p100=10.k80=5,allox,5,875,0.875,422413.642 seconds (117.34 hours),3115342.697 seconds (865.37 hours)
v100=5.p100=10.k80=5,allox,5,750,0.890,371611.854 seconds (103.23 hours),2688289.827 seconds (746.75 hours)
v100=5.p100=10.k80=5,allox,5,625,0.826,321537.055 seconds (89.32 hours),2448097.208 seconds (680.03 hours)
v100=5.p100=10.k80=5,allox,9,1000,0.894,467796.542 seconds (129.94 hours),3443096.098 seconds (956.42 hours)
v100=5.p100=10.k80=5,allox,9,500,0.841,273343.721 seconds (75.93 hours),1944397.297 seconds (540.11 hours)
v100=5.p100=10.k80=5,allox,9,875,0.859,397712.006 seconds (110.48 hours),3004722.129 seconds (834.65 hours)
v100=5.p100=10.k80=5,allox,9,750,0.890,356895.703 seconds (99.14 hours),2543889.206 seconds (706.64 hours)
v100=5.p100=10.k80=5,allox,9,625,0.857,314466.655 seconds (87.35 hours),2262668.904 seconds (628.52 hours)
v100=5.p100=10.k80=5,allox,8,1000,0.905,520629.171 seconds (144.62 hours),3916831.283 seconds (1088.01 hours)
v100=5.p100=10.k80=5,allox,8,500,0.806,267560.302 seconds (74.32 hours),2016337.483 seconds (560.09 hours)
v100=5.p100=10.k80=5,allox,8,875,0.876,448433.033 seconds (124.56 hours),3489525.693 seconds (969.31 hours)
v100=5.p100=10.k80=5,allox,8,750,0.877,391376.592 seconds (108.72 hours),2977121.837 seconds (826.98 hours)
