cluster_spec,policy_name,seed,total_jobs,cost,utilization,average_completion_time,total_completion_time
v100=10.p100=5.k80=5,max_min_fairness,5,1000,0.00,0.950,1004729.690 seconds (279.09 hours),3739673.745 seconds (1038.80 hours)
v100=10.p100=5.k80=5,max_min_fairness,5,500,0.00,0.839,476230.634 seconds (132.29 hours),1925145.189 seconds (534.76 hours)
v100=10.p100=5.k80=5,max_min_fairness,5,875,0.00,0.937,870671.796 seconds (241.85 hours),3266413.008 seconds (907.34 hours)
v100=10.p100=5.k80=5,max_min_fairness,5,750,0.00,0.927,753767.480 seconds (209.38 hours),2883187.025 seconds (800.89 hours)
v100=10.p100=5.k80=5,max_min_fairness,5,625,0.00,0.910,640709.487 seconds (177.97 hours),2478724.680 seconds (688.53 hours)
v100=10.p100=5.k80=5,max_min_fairness,9,1000,0.00,0.957,971522.118 seconds (269.87 hours),3639682.026 seconds (1011.02 hours)
v100=10.p100=5.k80=5,max_min_fairness,9,500,0.00,0.921,527548.476 seconds (146.54 hours),1991525.326 seconds (553.20 hours)
v100=10.p100=5.k80=5,max_min_fairness,9,875,0.00,0.948,813917.326 seconds (226.09 hours),3079651.299 seconds (855.46 hours)
v100=10.p100=5.k80=5,max_min_fairness,9,750,0.00,0.935,720862.198 seconds (200.24 hours),2731705.166 seconds (758.81 hours)
v100=10.p100=5.k80=5,max_min_fairness,9,625,0.00,0.923,621530.052 seconds (172.65 hours),2356153.008 seconds (654.49 hours)
v100=10.p100=5.k80=5,max_min_fairness,8,1000,0.00,0.967,1087262.865 seconds (302.02 hours),4120916.085 seconds (1144.70 hours)
v100=10.p100=5.k80=5,max_min_fairness,8,500,0.00,0.880,529249.257 seconds (147.01 hours),2153742.058 seconds (598.26 hours)
v100=10.p100=5.k80=5,max_min_fairness,8,875,0.00,0.961,924044.384 seconds (256.68 hours),3579496.908 seconds (994.30 hours)
v100=10.p100=5.k80=5,max_min_fairness,8,750,0.00,0.953,799788.763 seconds (222.16 hours),3096650.628 seconds (860.18 hours)
v100=10.p100=5.k80=5,max_min_fairness,8,625,0.00,0.930,659932.807 seconds (183.31 hours),2576018.245 seconds (715.56 hours)
v100=10.p100=5.k80=5,fifo,5,1000,0.00,0.493,1666766.871 seconds (462.99 hours),5858984.644 seconds (1627.50 hours)
v100=10.p100=5.k80=5,fifo,5,500,0.00,0.483,792568.396 seconds (220.16 hours),2734882.469 seconds (759.69 hours)
v100=10.p100=5.k80=5,fifo,5,875,0.00,0.494,1447796.308 seconds (402.17 hours),5064079.047 seconds (1406.69 hours)
v100=10.p100=5.k80=5,fifo,5,750,0.00,0.493,1248956.310 seconds (346.93 hours),4403593.333 seconds (1223.22 hours)
v100=10.p100=5.k80=5,fifo,5,625,0.00,0.491,1063246.001 seconds (295.35 hours),3723678.973 seconds (1034.36 hours)
v100=10.p100=5.k80=5,fifo,9,1000,0.00,0.632,1847000.275 seconds (513.06 hours),6304846.120 seconds (1751.35 hours)
v100=10.p100=5.k80=5,fifo,9,500,0.00,0.399,991982.137 seconds (275.55 hours),5750487.672 seconds (1597.36 hours)
v100=10.p100=5.k80=5,fifo,9,875,0.00,0.574,1620526.728 seconds (450.15 hours),5751252.895 seconds (1597.57 hours)
v100=10.p100=5.k80=5,fifo,9,750,0.00,0.519,1404383.670 seconds (390.11 hours),5750675.812 seconds (1597.41 hours)
v100=10.p100=5.k80=5,fifo,9,625,0.00,0.454,1195805.830 seconds (332.17 hours),5750622.201 seconds (1597.40 hours)
v100=10.p100=5.k80=5,fifo,8,1000,0.00,0.496,1836314.364 seconds (510.09 hours),6626467.023 seconds (1840.69 hours)
v100=10.p100=5.k80=5,fifo,8,500,0.00,0.491,907944.815 seconds (252.21 hours),3315292.861 seconds (920.91 hours)
v100=10.p100=5.k80=5,fifo,8,875,0.00,0.495,1558022.501 seconds (432.78 hours),5711821.251 seconds (1586.62 hours)
v100=10.p100=5.k80=5,fifo,8,750,0.00,0.495,1358309.545 seconds (377.31 hours),4944767.114 seconds (1373.55 hours)
v100=10.p100=5.k80=5,fifo,8,625,0.00,0.494,1120920.642 seconds (311.37 hours),4099603.688 seconds (1138.78 hours)
v100=10.p100=5.k80=5,finish_time_fairness,5,1000,0.00,0.933,816519.358 seconds (226.81 hours),3186076.351 seconds (885.02 hours)
v100=10.p100=5.k80=5,finish_time_fairness,5,500,0.00,0.789,388781.033 seconds (107.99 hours),1728624.763 seconds (480.17 hours)
v100=10.p100=5.k80=5,finish_time_fairness,5,875,0.00,0.923,706086.348 seconds (196.14 hours),2773419.020 seconds (770.39 hours)
v100=10.p100=5.k80=5,finish_time_fairness,5,750,0.00,0.908,614539.868 seconds (170.71 hours),2471415.526 seconds (686.50 hours)
v100=10.p100=5.k80=5,finish_time_fairness,5,625,0.00,0.889,524409.439 seconds (145.67 hours),2145340.821 seconds (595.93 hours)
v100=10.p100=5.k80=5,finish_time_fairness,9,1000,0.00,0.945,787004.817 seconds (218.61 hours),3074324.929 seconds (853.98 hours)
v100=10.p100=5.k80=5,finish_time_fairness,9,500,0.00,0.877,437491.031 seconds (121.53 hours),1788478.042 seconds (496.80 hours)
v100=10.p100=5.k80=5,finish_time_fairness,9,875,0.00,0.935,661544.615 seconds (183.76 hours),2622487.646 seconds (728.47 hours)
v100=10.p100=5.k80=5,finish_time_fairness,9,750,0.00,0.921,589637.732 seconds (163.79 hours),2337380.470 seconds (649.27 hours)
v100=10.p100=5.k80=5,finish_time_fairness,9,625,0.00,0.899,512252.968 seconds (142.29 hours),2055228.747 seconds (570.90 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,1000,0.00,0.948,884745.930 seconds (245.76 hours),3495825.332 seconds (971.06 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,500,0.00,0.860,428413.161 seconds (119.00 hours),1820299.564 seconds (505.64 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,875,0.00,0.940,752618.101 seconds (209.06 hours),3047668.681 seconds (846.57 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,750,0.00,0.927,648623.805 seconds (180.17 hours),2632970.764 seconds (731.38 hours)
v100=10.p100=5.k80=5,finish_time_fairness,8,625,0.00,0.901,534378.506 seconds (148.44 hours),2199290.492 seconds (610.91 hours)
v100=5.p100=5.k80=10,gandiva,5,1000,0.00,0.921,1102969.204 seconds (306.38 hours),4238461.783 seconds (1177.35 hours)
v100=5.p100=5.k80=10,gandiva,5,500,0.00,0.873,526923.747 seconds (146.37 hours),1986868.746 seconds (551.91 hours)
v100=5.p100=5.k80=10,gandiva,5,875,0.00,0.924,953906.145 seconds (264.97 hours),3677000.364 seconds (1021.39 hours)
v100=5.p100=5.k80=10,gandiva,5,750,0.00,0.915,829741.881 seconds (230.48 hours),3272066.656 seconds (908.91 hours)
v100=5.p100=5.k80=10,gandiva,5,625,0.00,0.905,707341.870 seconds (196.48 hours),2741936.536 seconds (761.65 hours)
v100=5.p100=5.k80=10,gandiva,9,1000,0.00,0.906,1060811.423 seconds (294.67 hours),4193550.803 seconds (1164.88 hours)
v100=5.p100=5.k80=10,gandiva,9,500,0.00,0.838,575811.991 seconds (159.95 hours),2311460.369 seconds (642.07 hours)
v100=5.p100=5.k80=10,gandiva,9,875,0.00,0.888,897704.370 seconds (249.36 hours),3606796.529 seconds (1001.89 hours)
v100=5.p100=5.k80=10,gandiva,9,750,0.00,0.884,795592.381 seconds (221.00 hours),3145759.615 seconds (873.82 hours)
v100=5.p100=5.k80=10,gandiva,9,625,0.00,0.884,688348.456 seconds (191.21 hours),2671846.510 seconds (742.18 hours)
v100=5.p100=5.k80=10,gandiva,8,1000,0.00,0.940,1180823.202 seconds (328.01 hours),4716200.396 seconds (1310.06 hours)
v100=5.p100=5.k80=10,gandiva,8,500,0.00,0.878,566532.621 seconds (157.37 hours),2277890.460 seconds (632.75 hours)
v100=5.p100=5.k80=10,gandiva,8,875,0.00,0.934,1006112.065 seconds (279.48 hours),4073077.852 seconds (1131.41 hours)
v100=5.p100=5.k80=10,gandiva,8,750,0.00,0.907,879026.822 seconds (244.17 hours),3640502.573 seconds (1011.25 hours)
v100=5.p100=5.k80=10,gandiva,8,625,0.00,0.904,713471.255 seconds (198.19 hours),2850186.184 seconds (791.72 hours)
v100=5.p100=5.k80=10,allox,5,1000,0.00,0.897,569444.782 seconds (158.18 hours),4244345.687 seconds (1178.98 hours)
v100=5.p100=5.k80=10,allox,5,500,0.00,0.795,284560.358 seconds (79.04 hours),2116526.199 seconds (587.92 hours)
v100=5.p100=5.k80=10,allox,5,875,0.00,0.896,497016.331 seconds (138.06 hours),3642657.100 seconds (1011.85 hours)
v100=5.p100=5.k80=10,allox,5,750,0.00,0.862,439445.363 seconds (122.07 hours),3314628.130 seconds (920.73 hours)
v100=5.p100=5.k80=10,allox,5,625,0.00,0.853,379048.588 seconds (105.29 hours),2842327.685 seconds (789.54 hours)
v100=5.p100=5.k80=10,allox,9,1000,0.00,0.900,547093.591 seconds (151.97 hours),4074536.096 seconds (1131.82 hours)
v100=5.p100=5.k80=10,allox,9,500,0.00,0.831,323326.042 seconds (89.81 hours),2353313.274 seconds (653.70 hours)
v100=5.p100=5.k80=10,allox,9,875,0.00,0.886,467848.948 seconds (129.96 hours),3484590.573 seconds (967.94 hours)
v100=5.p100=5.k80=10,allox,9,750,0.00,0.881,420007.208 seconds (116.67 hours),3063009.737 seconds (850.84 hours)
v100=5.p100=5.k80=10,allox,9,625,0.00,0.839,371084.205 seconds (103.08 hours),2746640.926 seconds (762.96 hours)
v100=5.p100=5.k80=10,allox,8,1000,0.00,0.908,604770.015 seconds (167.99 hours),4632378.120 seconds (1286.77 hours)
v100=5.p100=5.k80=10,allox,8,500,0.00,0.803,306495.203 seconds (85.14 hours),2343799.491 seconds (651.06 hours)
v100=5.p100=5.k80=10,allox,8,875,0.00,0.887,521693.106 seconds (144.91 hours),4063508.798 seconds (1128.75 hours)
v100=5.p100=5.k80=10,allox,8,750,0.00,0.873,453246.311 seconds (125.90 hours),3512619.349 seconds (975.73 hours)
