cluster_spec,policy_name,seed,total_jobs,cost,utilization,average_completion_time,total_completion_time
v100=5.p100=5.k80=5,max_min_fairness,8,366,10497.44,0.870,526918.321 seconds (146.37 hours),
v100=5.p100=5.k80=5,max_min_fairness,8,233,7324.33,0.848,376087.549 seconds (104.47 hours),
v100=5.p100=5.k80=5,max_min_fairness,8,100,3542.90,0.622,187071.920 seconds (51.96 hours),1068189.903 seconds (296.72 hours)
v100=5.p100=5.k80=5,fifo,5,500,14522.72,0.434,1087454.441 seconds (302.07 hours),6482242.152 seconds (1800.62 hours)
v100=5.p100=5.k80=5,fifo,5,366,9576.15,0.704,730599.992 seconds (202.94 hours),
v100=5.p100=5.k80=5,fifo,5,233,5738.54,0.504,432938.441 seconds (120.26 hours),
v100=5.p100=5.k80=5,fifo,5,100,2258.07,0.358,173267.838 seconds (48.13 hours),1252989.300 seconds (348.05 hours)
v100=5.p100=5.k80=5,fifo,9,500,13420.25,0.332,1734898.163 seconds (481.92 hours),6067484.943 seconds (1685.41 hours)
v100=5.p100=5.k80=5,fifo,9,366,10302.17,0.332,1323986.930 seconds (367.77 hours),
v100=5.p100=5.k80=5,fifo,9,233,7604.99,0.331,984291.947 seconds (273.41 hours),
v100=5.p100=5.k80=5,fifo,9,100,3548.06,0.323,464582.436 seconds (129.05 hours),1649627.735 seconds (458.23 hours)
v100=5.p100=5.k80=5,fifo,8,500,14484.14,0.331,1815099.494 seconds (504.19 hours),6559048.466 seconds (1821.96 hours)
v100=5.p100=5.k80=5,fifo,8,366,10354.15,0.331,1265220.245 seconds (351.45 hours),
v100=5.p100=5.k80=5,fifo,8,233,7314.47,0.328,888045.331 seconds (246.68 hours),
v100=5.p100=5.k80=5,fifo,8,100,3273.34,0.316,383697.199 seconds (106.58 hours),1552611.224 seconds (431.28 hours)
v100=5.p100=5.k80=5,finish_time_fairness,5,500,10660.61,0.847,558725.696 seconds (155.20 hours),2351572.262 seconds (653.21 hours)
v100=5.p100=5.k80=5,finish_time_fairness,5,366,7522.83,0.811,382069.530 seconds (106.13 hours),
v100=5.p100=5.k80=5,finish_time_fairness,5,233,4513.39,0.633,236895.827 seconds (65.80 hours),
v100=5.p100=5.k80=5,finish_time_fairness,5,100,1816.81,0.317,117725.786 seconds (32.70 hours),1070743.821 seconds (297.43 hours)
v100=5.p100=5.k80=5,finish_time_fairness,9,500,12189.47,0.880,629261.885 seconds (174.79 hours),2591940.613 seconds (719.98 hours)
v100=5.p100=5.k80=5,finish_time_fairness,9,366,9393.65,0.848,486119.386 seconds (135.03 hours),
v100=5.p100=5.k80=5,finish_time_fairness,9,233,7160.55,0.822,375961.179 seconds (104.43 hours),
v100=5.p100=5.k80=5,finish_time_fairness,9,100,3378.58,0.618,192824.028 seconds (53.56 hours),1022422.142 seconds (284.01 hours)
v100=5.p100=5.k80=5,finish_time_fairness,8,500,12060.06,0.895,606530.705 seconds (168.48 hours),2519924.766 seconds (699.98 hours)
v100=5.p100=5.k80=5,finish_time_fairness,8,366,8661.56,0.888,423037.050 seconds (117.51 hours),
v100=5.p100=5.k80=5,finish_time_fairness,8,233,6127.55,0.830,304479.908 seconds (84.58 hours),
v100=5.p100=5.k80=5,finish_time_fairness,8,100,3146.93,0.602,159701.116 seconds (44.36 hours),978314.986 seconds (271.75 hours)
