cluster_spec,policy_name,seed,lambda,utilization,average_completion_time,total_completion_time,window_duration
v100=5.p100=10.k80=5,max_min_fairness,8,3600,0.974,249613.618 seconds (69.34 hours), 5385923.907 seconds (1496.09 hours), 1879475.630340
v100=5.p100=10.k80=5,max_min_fairness,8,4800,0.810,109911.896 seconds (30.53 hours), 3135856.426 seconds (871.07 hours), 2505967.507121
v100=5.p100=10.k80=5,max_min_fairness,8,14400,0.286,92045.326 seconds (25.57 hours), 7862084.409 seconds (2183.91 hours), 7517902.521362
v100=5.p100=10.k80=5,max_min_fairness,8,7200,0.552,90465.175 seconds (25.13 hours), 4255760.968 seconds (1182.16 hours), 3758951.260681
v100=5.p100=10.k80=5,fifo,5,3600,0.931,452294.928 seconds (125.64 hours), 4603677.075 seconds (1278.80 hours), 1912602.417248
v100=5.p100=10.k80=5,fifo,5,4800,0.775,113202.672 seconds (31.45 hours), 4673491.190 seconds (1298.19 hours), 2550136.556331
v100=5.p100=10.k80=5,fifo,5,14400,0.205,65233.735 seconds (18.12 hours), 7453459.248 seconds (2070.41 hours), 7650409.668993
v100=5.p100=10.k80=5,fifo,5,7200,0.487,85885.993 seconds (23.86 hours), 5733624.364 seconds (1592.67 hours), 3825204.834496
v100=5.p100=10.k80=5,fifo,9,3600,0.971,154851.898 seconds (43.01 hours), 3138862.886 seconds (871.91 hours), 1770762.392285
v100=5.p100=10.k80=5,fifo,9,4800,0.743,68045.252 seconds (18.90 hours), 3093982.711 seconds (859.44 hours), 2361016.523046
v100=5.p100=10.k80=5,fifo,9,14400,0.204,57386.741 seconds (15.94 hours), 7887346.579 seconds (2190.93 hours), 7083049.569139
v100=5.p100=10.k80=5,fifo,9,7200,0.431,59397.046 seconds (16.50 hours), 4233604.286 seconds (1176.00 hours), 3541524.784570
v100=5.p100=10.k80=5,fifo,8,3600,0.966,446157.757 seconds (123.93 hours), 4802531.987 seconds (1334.04 hours), 1879475.630340
v100=5.p100=10.k80=5,fifo,8,4800,0.843,173620.836 seconds (48.23 hours), 3929303.377 seconds (1091.47 hours), 2505967.507121
v100=5.p100=10.k80=5,fifo,8,14400,0.229,71182.431 seconds (19.77 hours), 7694164.633 seconds (2137.27 hours), 7517902.521362
v100=5.p100=10.k80=5,fifo,8,7200,0.502,81434.074 seconds (22.62 hours), 4162166.501 seconds (1156.16 hours), 3758951.260681
v100=5.p100=10.k80=5,finish_time_fairness,5,3600,0.893,104637.385 seconds (29.07 hours), 2656102.195 seconds (737.81 hours), 1912602.417248
v100=5.p100=10.k80=5,finish_time_fairness,5,4800,0.726,83932.978 seconds (23.31 hours), 2894428.080 seconds (804.01 hours), 2550136.556331
v100=5.p100=10.k80=5,finish_time_fairness,5,14400,0.262,83638.840 seconds (23.23 hours), 7434169.640 seconds (2065.05 hours), 7650409.668993
v100=5.p100=10.k80=5,finish_time_fairness,5,7200,0.504,81287.563 seconds (22.58 hours), 4007871.691 seconds (1113.30 hours), 3825204.834496
v100=5.p100=10.k80=5,finish_time_fairness,9,3600,0.869,70916.084 seconds (19.70 hours), 2712260.099 seconds (753.41 hours), 1770762.392285
v100=5.p100=10.k80=5,finish_time_fairness,9,4800,0.693,67110.659 seconds (18.64 hours), 3146181.459 seconds (873.94 hours), 2361016.523046
v100=5.p100=10.k80=5,finish_time_fairness,9,14400,0.254,70735.700 seconds (19.65 hours), 7929565.733 seconds (2202.66 hours), 7083049.569139
v100=5.p100=10.k80=5,finish_time_fairness,9,7200,0.487,68045.804 seconds (18.90 hours), 4315666.710 seconds (1198.80 hours), 3541524.784570
v100=5.p100=10.k80=5,finish_time_fairness,8,3600,0.937,135748.145 seconds (37.71 hours), 3064343.753 seconds (851.21 hours), 1879475.630340
v100=5.p100=10.k80=5,finish_time_fairness,8,4800,0.770,93032.929 seconds (25.84 hours), 3049105.532 seconds (846.97 hours), 2505967.507121
v100=5.p100=10.k80=5,finish_time_fairness,8,14400,0.283,91054.482 seconds (25.29 hours), 7843348.237 seconds (2178.71 hours), 7517902.521362
v100=5.p100=10.k80=5,finish_time_fairness,8,7200,0.539,88668.869 seconds (24.63 hours), 4226607.328 seconds (1174.06 hours), 3758951.260681
