cluster_spec,policy_name,seed,lambda,utilization,average_completion_time,total_completion_time,window_duration
v100=10.p100=5.k80=5,max_min_fairness,9,14400,0.252,70804.655 seconds (19.67 hours), 7869098.037 seconds (2185.86 hours), 7083049.569139
v100=10.p100=5.k80=5,max_min_fairness,9,7200,0.479,67358.420 seconds (18.71 hours), 4182446.317 seconds (1161.79 hours), 3541524.784570
v100=10.p100=5.k80=5,max_min_fairness,8,3600,0.964,163586.065 seconds (45.44 hours), 3858826.951 seconds (1071.90 hours), 1879475.630340
v100=10.p100=5.k80=5,max_min_fairness,8,4800,0.764,88604.181 seconds (24.61 hours), 3037214.191 seconds (843.67 hours), 2505967.507121
v100=10.p100=5.k80=5,max_min_fairness,8,14400,0.279,88818.700 seconds (24.67 hours), 7853772.680 seconds (2181.60 hours), 7517902.521362
v100=10.p100=5.k80=5,max_min_fairness,8,7200,0.521,83693.402 seconds (23.25 hours), 4231987.986 seconds (1175.55 hours), 3758951.260681
v100=10.p100=5.k80=5,fifo,5,3600,0.898,305974.037 seconds (84.99 hours), 2996293.965 seconds (832.30 hours), 1912602.417248
v100=10.p100=5.k80=5,fifo,5,4800,0.747,104726.366 seconds (29.09 hours), 5051474.843 seconds (1403.19 hours), 2550136.556331
v100=10.p100=5.k80=5,fifo,5,14400,0.199,63323.468 seconds (17.59 hours), 7204697.546 seconds (2001.30 hours), 7650409.668993
v100=10.p100=5.k80=5,fifo,5,7200,0.448,76582.680 seconds (21.27 hours), 5733571.247 seconds (1592.66 hours), 3825204.834496
v100=10.p100=5.k80=5,fifo,9,3600,0.963,109162.182 seconds (30.32 hours), 4557618.388 seconds (1266.01 hours), 1770762.392285
v100=10.p100=5.k80=5,fifo,9,4800,0.717,69002.752 seconds (19.17 hours), 7435515.408 seconds (2065.42 hours), 2361016.523046
v100=10.p100=5.k80=5,fifo,9,14400,0.200,56343.009 seconds (15.65 hours), 7676389.431 seconds (2132.33 hours), 7083049.569139
v100=10.p100=5.k80=5,fifo,9,7200,0.409,56833.943 seconds (15.79 hours), 4015794.175 seconds (1115.50 hours), 3541524.784570
v100=10.p100=5.k80=5,fifo,8,3600,0.963,433586.148 seconds (120.44 hours), 4030336.258 seconds (1119.54 hours), 1879475.630340
v100=10.p100=5.k80=5,fifo,8,4800,0.810,105909.961 seconds (29.42 hours), 5713841.231 seconds (1587.18 hours), 2505967.507121
v100=10.p100=5.k80=5,fifo,8,14400,0.219,66687.640 seconds (18.52 hours), 7716842.494 seconds (2143.57 hours), 7517902.521362
v100=10.p100=5.k80=5,fifo,8,7200,0.479,69706.704 seconds (19.36 hours), 4104175.132 seconds (1140.05 hours), 3758951.260681
v100=10.p100=5.k80=5,finish_time_fairness,5,3600,0.840,82230.280 seconds (22.84 hours), 2352619.122 seconds (653.51 hours), 1912602.417248
v100=10.p100=5.k80=5,finish_time_fairness,5,4800,0.667,73896.092 seconds (20.53 hours), 2772013.416 seconds (770.00 hours), 2550136.556331
v100=10.p100=5.k80=5,finish_time_fairness,5,14400,0.257,81373.538 seconds (22.60 hours), 7395305.897 seconds (2054.25 hours), 7650409.668993
v100=10.p100=5.k80=5,finish_time_fairness,5,7200,0.472,75139.392 seconds (20.87 hours), 3891214.336 seconds (1080.89 hours), 3825204.834496
v100=10.p100=5.k80=5,finish_time_fairness,9,3600,0.817,62931.325 seconds (17.48 hours), 2533699.459 seconds (703.81 hours), 1770762.392285
v100=10.p100=5.k80=5,finish_time_fairness,9,4800,0.646,61638.539 seconds (17.12 hours), 3018015.091 seconds (838.34 hours), 2361016.523046
v100=10.p100=5.k80=5,finish_time_fairness,9,14400,0.250,70228.119 seconds (19.51 hours), 7890502.527 seconds (2191.81 hours), 7083049.569139
v100=10.p100=5.k80=5,finish_time_fairness,9,7200,0.462,64768.181 seconds (17.99 hours), 4173094.220 seconds (1159.19 hours), 3541524.784570
v100=10.p100=5.k80=5,finish_time_fairness,8,3600,0.890,104434.617 seconds (29.01 hours), 2571506.432 seconds (714.31 hours), 1879475.630340
v100=10.p100=5.k80=5,finish_time_fairness,8,4800,0.706,79193.282 seconds (22.00 hours), 2981060.200 seconds (828.07 hours), 2505967.507121
v100=10.p100=5.k80=5,finish_time_fairness,8,14400,0.277,88350.092 seconds (24.54 hours), 7847662.354 seconds (2179.91 hours), 7517902.521362
v100=10.p100=5.k80=5,finish_time_fairness,8,7200,0.502,81127.598 seconds (22.54 hours), 4199595.144 seconds (1166.55 hours), 3758951.260681
v100=5.p100=5.k80=10,gandiva,5,4800,0.719,136952.584 seconds (38.04 hours), 3524401.246 seconds (979.00 hours), 2550136.556331
v100=5.p100=5.k80=10,gandiva,5,14400,0.200,63832.055 seconds (17.73 hours), 7223057.358 seconds (2006.40 hours), 7650409.668993
v100=5.p100=5.k80=10,gandiva,5,7200,0.452,77996.310 seconds (21.67 hours), 4053855.023 seconds (1126.07 hours), 3825204.834496
v100=5.p100=5.k80=10,gandiva,9,3600,0.978,168246.451 seconds (46.74 hours), 18401906.555 seconds (5111.64 hours), 1770762.392285
v100=5.p100=5.k80=10,gandiva,9,4800,0.666,74073.737 seconds (20.58 hours), 3419409.254 seconds (949.84 hours), 2361016.523046
v100=5.p100=5.k80=10,gandiva,9,14400,0.200,56238.880 seconds (15.62 hours), 7694031.365 seconds (2137.23 hours), 7083049.569139
v100=5.p100=5.k80=10,gandiva,9,7200,0.430,58502.902 seconds (16.25 hours), 4253030.867 seconds (1181.40 hours), 3541524.784570
v100=5.p100=5.k80=10,gandiva,8,3600,0.974,412670.635 seconds (114.63 hours), 11329557.305 seconds (3147.10 hours), 1879475.630340
v100=5.p100=5.k80=10,gandiva,8,4800,0.788,169403.570 seconds (47.06 hours), 3668300.043 seconds (1018.97 hours), 2505967.507121
v100=5.p100=5.k80=10,gandiva,8,14400,0.220,67771.499 seconds (18.83 hours), 7699564.068 seconds (2138.77 hours), 7517902.521362
v100=5.p100=5.k80=10,gandiva,8,7200,0.486,80278.726 seconds (22.30 hours), 4184104.775 seconds (1162.25 hours), 3758951.260681
v100=5.p100=5.k80=10,allox,5,4800,0.814,118499.521 seconds (32.92 hours), 3818172.087 seconds (1060.60 hours), 2550136.556331
v100=5.p100=5.k80=10,allox,5,14400,0.195,61924.113 seconds (17.20 hours), 7204695.332 seconds (2001.30 hours), 7650409.668993
v100=5.p100=5.k80=10,allox,5,7200,0.445,75986.275 seconds (21.11 hours), 4265223.379 seconds (1184.78 hours), 3825204.834496
v100=5.p100=5.k80=10,allox,9,4800,0.795,76585.865 seconds (21.27 hours), 6177345.173 seconds (1715.93 hours), 2361016.523046
v100=5.p100=5.k80=10,allox,9,14400,0.195,54979.176 seconds (15.27 hours), 7676391.926 seconds (2132.33 hours), 7083049.569139
v100=5.p100=5.k80=10,allox,9,7200,0.396,53275.178 seconds (14.80 hours), 4567302.142 seconds (1268.70 hours), 3541524.784570
v100=5.p100=5.k80=10,allox,8,4800,0.916,141494.731 seconds (39.30 hours), 6175708.869 seconds (1715.47 hours), 2505967.507121
v100=5.p100=5.k80=10,allox,8,14400,0.216,67358.597 seconds (18.71 hours), 7694163.609 seconds (2137.27 hours), 7517902.521362
v100=5.p100=5.k80=10,allox,8,7200,0.475,80369.294 seconds (22.32 hours), 4103841.025 seconds (1139.96 hours), 3758951.260681
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,3600,0.967,319874.678 seconds (88.85 hours), 6028176.280 seconds (1674.49 hours), 1912602.417248
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,4800,0.865,116768.000 seconds (32.44 hours), 3254060.190 seconds (903.91 hours), 2550136.556331
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,14400,0.288,94135.653 seconds (26.15 hours), 7531026.241 seconds (2091.95 hours), 7650409.668993
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,7200,0.614,102921.952 seconds (28.59 hours), 4145013.220 seconds (1151.39 hours), 3825204.834496
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,3600,0.984,110680.369 seconds (30.74 hours), 3722054.876 seconds (1033.90 hours), 1770762.392285
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,4800,0.839,90100.551 seconds (25.03 hours), 3544707.736 seconds (984.64 hours), 2361016.523046
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,14400,0.273,74630.932 seconds (20.73 hours), 7968108.187 seconds (2213.36 hours), 7083049.569139
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,7200,0.591,82806.107 seconds (23.00 hours), 4481981.376 seconds (1244.99 hours), 3541524.784570
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,3600,0.982,359594.971 seconds (99.89 hours), 6742415.849 seconds (1872.89 hours), 1879475.630340
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,4800,0.909,154805.584 seconds (43.00 hours), 3764424.295 seconds (1045.67 hours), 2505967.507121
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,14400,0.310,101244.703 seconds (28.12 hours), 7922924.659 seconds (2200.81 hours), 7517902.521362
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,7200,0.665,112547.723 seconds (31.26 hours), 4324536.847 seconds (1201.26 hours), 3758951.260681
v100=5.p100=5.k80=10,max_min_fairness,5,3600,0.982,652273.507 seconds (181.19 hours), 11546178.688 seconds (3207.27 hours), 1912602.417248
v100=5.p100=5.k80=10,max_min_fairness,5,4800,0.914,201185.815 seconds (55.88 hours), 4703332.793 seconds (1306.48 hours), 2550136.556331
v100=5.p100=5.k80=10,max_min_fairness,5,14400,0.299,97707.223 seconds (27.14 hours), 7568844.192 seconds (2102.46 hours), 7650409.668993
v100=5.p100=5.k80=10,max_min_fairness,5,7200,0.649,109676.379 seconds (30.47 hours), 4202953.872 seconds (1167.49 hours), 3825204.834496
v100=5.p100=5.k80=10,max_min_fairness,9,3600,0.991,386156.474 seconds (107.27 hours), 8786111.550 seconds (2440.59 hours), 1770762.392285
v100=5.p100=5.k80=10,max_min_fairness,9,4800,0.897,99301.804 seconds (27.58 hours), 3802061.041 seconds (1056.13 hours), 2361016.523046
v100=5.p100=5.k80=10,max_min_fairness,9,14400,0.284,77139.265 seconds (21.43 hours), 8012052.686 seconds (2225.57 hours), 7083049.569139
v100=5.p100=5.k80=10,max_min_fairness,9,7200,0.620,88293.032 seconds (24.53 hours), 4651156.445 seconds (1291.99 hours), 3541524.784570
v100=5.p100=5.k80=10,max_min_fairness,8,3600,0.989,858497.527 seconds (238.47 hours), 13468936.418 seconds (3741.37 hours), 1879475.630340
v100=5.p100=5.k80=10,max_min_fairness,8,4800,0.956,219535.547 seconds (60.98 hours), 5279573.498 seconds (1466.55 hours), 2505967.507121
v100=5.p100=5.k80=10,max_min_fairness,8,14400,0.323,105488.466 seconds (29.30 hours), 7966136.977 seconds (2212.82 hours), 7517902.521362
v100=5.p100=5.k80=10,max_min_fairness,8,7200,0.698,118849.264 seconds (33.01 hours), 4492273.789 seconds (1247.85 hours), 3758951.260681
v100=5.p100=5.k80=10,fifo,5,3600,0.968,854748.859 seconds (237.43 hours), 5571349.300 seconds (1547.60 hours), 1912602.417248
v100=5.p100=5.k80=10,fifo,5,4800,0.911,303374.540 seconds (84.27 hours), 5279022.978 seconds (1466.40 hours), 2550136.556331
v100=5.p100=5.k80=10,fifo,5,14400,0.211,68947.928 seconds (19.15 hours), 7453461.394 seconds (2070.41 hours), 7650409.668993
v100=5.p100=5.k80=10,fifo,5,7200,0.624,113876.298 seconds (31.63 hours), 5733636.397 seconds (1592.68 hours), 3825204.834496
v100=5.p100=5.k80=10,fifo,9,3600,0.984,984871.950 seconds (273.58 hours), 8017921.703 seconds (2227.20 hours), 1770762.392285
v100=5.p100=5.k80=10,fifo,9,4800,0.936,116907.711 seconds (32.47 hours), 3808591.105 seconds (1057.94 hours), 2361016.523046
v100=5.p100=5.k80=10,fifo,9,14400,0.204,57386.741 seconds (15.94 hours), 7887346.579 seconds (2190.93 hours), 7083049.569139
v100=5.p100=5.k80=10,fifo,9,7200,0.565,71183.971 seconds (19.77 hours), 4103637.253 seconds (1139.90 hours), 3541524.784570
v100=5.p100=5.k80=10,fifo,8,3600,0.975,1265741.598 seconds (351.59 hours), 7207290.375 seconds (2002.03 hours), 1879475.630340
v100=5.p100=5.k80=10,fifo,8,4800,0.963,498193.065 seconds (138.39 hours), 6693360.925 seconds (1859.27 hours), 2505967.507121
v100=5.p100=5.k80=10,fifo,8,14400,0.241,76606.726 seconds (21.28 hours), 7694190.787 seconds (2137.28 hours), 7517902.521362
v100=5.p100=5.k80=10,fifo,8,7200,0.722,127346.077 seconds (35.37 hours), 7133607.937 seconds (1981.56 hours), 3758951.260681
v100=5.p100=5.k80=10,finish_time_fairness,5,3600,0.961,276619.658 seconds (76.84 hours), 5324017.303 seconds (1478.89 hours), 1912602.417248
v100=5.p100=5.k80=10,finish_time_fairness,5,4800,0.858,112226.404 seconds (31.17 hours), 3173420.087 seconds (881.51 hours), 2550136.556331
v100=5.p100=5.k80=10,finish_time_fairness,5,14400,0.289,94598.173 seconds (26.28 hours), 7515197.694 seconds (2087.55 hours), 7650409.668993
v100=5.p100=5.k80=10,finish_time_fairness,5,7200,0.613,101449.712 seconds (28.18 hours), 4131688.991 seconds (1147.69 hours), 3825204.834496
v100=5.p100=5.k80=10,finish_time_fairness,9,3600,0.980,100586.880 seconds (27.94 hours), 3317058.502 seconds (921.41 hours), 1770762.392285
v100=5.p100=5.k80=10,finish_time_fairness,9,4800,0.829,87047.908 seconds (24.18 hours), 3547589.404 seconds (985.44 hours), 2361016.523046
v100=5.p100=5.k80=10,finish_time_fairness,9,14400,0.276,74863.085 seconds (20.80 hours), 8025349.962 seconds (2229.26 hours), 7083049.569139
